Column1,Column2,Column3
3.32,67.43,0
-0.48,65.9,1
0.54,66.81,0
-5.59,51.34,0
-0.83,49.6,0
-0.62,48.31,1
3.28,55,0
-1.97,50.62,1
0.71,52.08,1
1.02,54.17,1
0.06,54.31,0
-0.04,54.2,0
-2.04,48.83,1
0.23,49.41,1
1.42,53.06,0
-0.7,51.08,0
-0.13,50.71,1
1.63,55.15,0
-2.7,47.41,0
-2.55,41.63,0
-0.16,41.3,0
-1.39,38.43,1
2.52,45.69,0
-1.04,43.36,0
-1.91,39.42,0
-0.65,38.17,0
-1.58,35.27,1
2.03,41.34,0
3.45,44.35,0
-0.78,42.82,1
2.41,48.7,1
1.5,52.07,1
0.46,53.1,1
0.85,55.04,0
-0.52,53.55,0
-0.48,52.19,1
0.4,53.27,1
0.76,55.33,0
-0.45,53.8,0
-0.77,51.19,0
-2.22,44.58,0
-0.33,43.7,1
0.55,45.63,1
0.31,46.75,1
3.59,57.63,1
0.13,57.96,1
0.53,59.42,1
-0.96,60.37,1
0.62,62.08,0
0.54,67.54,1
1.11,70.25,1
1.05,72.59,0
-0.16,71.66,1
0.36,72.52,0
-0.16,71.45,0
-0.27,69.61,0
1.04,73.44,0
-0.32,71.19,0
-1.74,60.27,1
1.69,65.68,0
-1.64,57.39,1
6.24,71.77,0
-0.45,69.81,1
0.6,70.93,1
1.28,73.23,1
0.77,74.55,0
-0.06,74.22,0
-0.23,72.95,1
1,74.93,1
0.93,76.66,1
1.05,78.47,1
1.67,81.04,1
3.46,85.06,1
0.05,85.11,1
1.86,86.9,1
1.36,88.06,0
-2.31,75.7,1
0.91,77.04,0
-0.35,78.62,1
0.65,79.54,1
1.17,81.12,1
0.64,81.96,1
1.84,84.13,1
1.31,85.51,1
0.37,85.88,1
0.13,86.02,0
-2.2,73.02,0
-0.54,70.26,1
0.08,70.44,1
2.13,74.73,1
0.59,75.79,1
1.25,77.94,1
2.92,82,1
3.78,85.76,0
-0.68,82.3,1
0,82.3,1
2.65,85.01,1
0.81,85.75,0
-0.57,82.64,0
-0.52,79.79,0
-0.55,76.82,1
1.83,79.54,1
1.24,81.18,1
0.51,81.83,0
-1.26,74.9,0
-1.69,66.8,1
3.18,72.69,1
1.73,75.33,0
-0.8,71.82,1
-1.22,69.29,0
-0.36,67.72,0
-0.55,65.29,0
-2.82,54.52,0
-4.15,43.47,1
5.1,55.04,0
-0.22,54.48,0
-3.44,46.73,0
-2.46,42.25,0
-0.22,41.86,0
-2,38.51,1
8.87,55.29,0
-0.38,54.55,0
-0.77,52.99,0
-3.15,47.1,0
-0.32,46.56,1
0.66,47.9,0
-0.71,46.54,0
-2.85,41.49,1
0.75,43.18,0
-0.23,42.77,1
0.18,43.22,1
0.24,43.85,0
-0.67,42.4,0
-1.5,39.29,0
-0.9,37.53,0
-1.28,35.14,0
-2.92,30.45,1
0.05,30.61,1
5.83,46.59,0
-0.77,45.03,1
2.44,50.64,0
-0.92,48.58,0
1.21,54.35,0
-0.25,53.67,0
-2.9,46.38,1
0.59,47.89,0
-0.26,47.26,1
1.53,51.34,1
0.05,51.46,1
1.5,55.43,0
-1.58,50.68,1
0.87,53.04,0
-0.69,50.93,0
-0.11,50.59,1
0.45,52.02,1
2.03,57.89,1
0.28,58.66,0
-0.28,57.51,0
-1.38,52.19,1
0.77,54.67,0
-1.95,47.83,1
0.22,48.6,1
0.43,50.16,0
-0.95,46.8,1
2.63,55.58,1
1.46,59.67,1
-0.67,63.84,1
1.32,66.88,0
-0.93,62.84,0
-0.62,60.24,0
-0.91,56.54,1
1.01,59.48,1
0.32,60.4,1
0,60.42,0
-0.11,59.86,1
1.33,64.06,0
-1.63,56.19,0
-0.08,55.85,0
-0.48,53.64,0
-4.32,38.89,0
-0.02,38.85,1
1.79,45.7,1
1.69,51.34,1
2.64,58.7,0
-0.65,56.39,1
0.16,56.85,1
1.3,60.42,1
1.11,63.26,0
-0.26,62.11,0
-0.17,61.34,1
0.14,61.77,1
0.16,62.26,1
1.34,66.28,1
0.27,67.05,0
-0.14,66.22,1
0.87,68.87,1
1.85,73.64,1
2.63,78.71,0
-1.37,70.87,1
1.95,74.7,0
-0.93,69.88,1
0.09,70.08,1
1.88,73.94,0
-0.13,73.22,0
-0.2,72.08,0
-1.43,64.29,1
-0.7,64.99,1
0.9,67.45,1
0.62,69.07,0
-2.6,56.29,0
-0.32,54.96,1
1.39,59.38,1
1.97,64.73,1
