pp,Result
-0.01325255314834597,1
-0.0161690759166721,1
-0.009893701676725685,1
-0.009737966315108298,1
-0.015386604309185009,1
-0.010216797492355446,1
0.012629875147068995,1
0.012828288801914443,1
0.013331746980530895,1
0.016850460697881323,0
0.011781094840348904,0
0.01587775861071993,0
0.010458358444648501,1
0.012754944999415482,1
0.013512667633699854,0
0.008345854667721885,0
0.00012120270946807386,0
0.00944350197275761,0
0.0010056346636357586,0
-0.0024025999269855704,0
-0.006069954086846062,0
-0.0017750110100454815,0
0.00019837840210009945,0
0.006008335031844893,0
-0.022858416983608063,1
-0.0067031671573666565,1
-0.002453496787956669,0
-0.010319825215213097,0
-0.007996335167401124,1
-0.003482906092014978,1
-0.001185173573865152,1
-0.004533861066358781,1
-0.004844935123429112,1
-0.01466086930058467,1
0.01706324545613996,1
0.0007149901813082095,1
-0.0036339267207794127,1
-0.000979938947552881,1
0.0018403482588229244,1
0.0015442588885569066,1
0.003338369503727335,1
0.005521336926188204,1
0.00864024003661086,0
0.008773391482238236,1
0.004362727273871117,1
0.016660144572976886,0
0.019945211295081408,0
0.015802866991367046,0
0.003045026184782023,0
0.003755466146747349,0
0.0025084512299133905,0
0.0012429121454819963,0
-0.001726635391565049,0
0.000517587139702594,0
0.002804999642529838,0
-0.011368854736879862,0
-0.015346245737344446,0
-0.014831407829871752,0
-0.004618190981160541,0
-0.0037472725972028534,0
-0.0071056356343094235,0
-0.009086835287327176,0
-0.009719482686244393,0
-0.012238705089411038,0
-0.01118580379396759,0
-0.007983869157686764,0
-0.0017792424618429893,0
-0.0016630622417556052,0
-0.010454714193266204,1
-0.014600308144004431,1
-0.01006901762236887,1
-0.009590166043828131,1
-0.009587067000188266,1
-0.004451720342092638,1
-0.0009053627061401892,1
-0.003296085684165721,1
-0.002578373790243689,1
-0.003614915309897542,1
0.011430786038249702,1
0.014511030894812737,0
0.011828558019912392,0
0.013526004895256433,1
0.017762469267366247,0
0.012283988559530543,0
0.005683673082761786,0
0.005686566733582189,1
0.003685421410861544,1
0.0042866167904536115,1
0.0008348451869124915,0
-0.00032022331681859036,0
-0.0011884180559842044,1
0.0007042801474308702,0
-0.003871398609834601,1
-0.002965761900611427,1
-0.0001345799952339213,1
0.002070938990392848,1
0.0022096350754602597,1
0.002212246775403646,1
-0.00039974120551385415,1
-0.0013417042891291715,1
0.000630536246264885,1
-0.0033179629302182915,1
0.003135568878893544,1
0.0019468597537803934,1
0.010812984257904626,1
0.009279594454167072,1
0.012323264616421772,1
0.010364582115454305,1
0.013220678811164472,1
0.016545230768677293,1
0.020015348891611207,0
0.01861293460079141,1
0.01329487213083636,1
0.013029192491332966,1
0.00491183851673854,0
0.003350550824260206,1
0.0010370434582367889,1
0.005939237851632666,1
0.002756796168266618,0
0.0009400599946810551,0
-0.0016979739202500862,1
0.0006063393753961616,1
0.0017644546536302228,1
0.0041815208051815735,0
-9.284803932797735e-05,1
0.001985875637872502,1
0.0025634480168850314,1
0.001158021849272224,1
-0.00043409855177860935,1
-0.0009163285604019171,1
0.0012390636698673063,1
0.0024619598016228086,1
0.0021164581540566423,1
-0.00040053157856144363,1
0.0038169393719406446,1
0.002888534130507859,1
0.0006363751337575937,1
0.0018021556177121776,0
0.00557053458182247,0
0.004349099094018011,0
0.0032198034509157525,0
0.005544640286796582,0
0.003142353114213807,0
0.006943049935857591,0
0.0015269698152887991,0
0.0035812744209620107,0
0.004123767936949567,0
-0.0007911909321153762,0
-0.0032040504814566106,0
