Column1,Column2,Column3,Column4,Column5
76.74,89.14,-0.26,-2.34,1.0
80.24,90.77,1.82,4.56,0.0
77.61,90.43,-0.37,-3.28,0.0
72.9,89.81,-0.69,-6.07,1.0
76.09,91.08,1.41,4.38,1.0
78.34,92.12,1.14,2.96,1.0
79.08,92.48,0.39,0.94,0.0
77.09,92.22,-0.27,-2.51,1.0
80.2,93.7,1.6,4.03,1.0
81.22,94.25,0.59,1.28,0.0
78.14,93.86,-0.41,-3.8,0.0
70.27,95.35,-0.65,-6.33,1.0
70.4,95.39,0.04,0.19,0.0
72.63,96.45,1.29,6.33,0.0
70.57,99.02,1.38,5.57,0.0
71.1,100.53,1.38,6.16,1.0
71.21,100.57,0.04,0.16,1.0
71.24,100.58,0.01,0.04,1.0
73.46,101.32,0.74,3.12,1.0
74.11,101.54,0.22,0.87,0.0
72.8,102.13,1.23,5.8,1.0
73.16,102.25,0.12,0.49,1.0
49.92,98.94,-4.22,-34.55,0.0
41.43,97.87,-3.81,-27.11,1.0
70.41,108.0,0.95,3.33,1.0
73.23,109.4,1.3,4.01,0.0
70.95,109.7,0.8,3.44,1.0
74.6,111.25,1.41,5.15,1.0
77.67,112.82,1.41,4.11,1.0
79.93,114.18,1.21,2.91,0.0
78.73,113.99,-0.17,-1.5,1.0
81.11,115.47,1.3,3.02,0.0
76.15,114.67,-0.69,-6.11,1.0
78.99,116.31,1.43,3.72,1.0
79.25,116.47,0.14,0.33,1.0
82.4,118.63,1.85,3.98,0.0
76.43,117.6,-0.87,-7.24,1.0
52.38,111.89,3.84,27.26,1.0
46.82,109.14,-3.5,-17.46,1.0
58.87,115.31,5.65,25.73,1.0
70.46,124.88,2.34,5.99,1.0
72.41,126.46,1.27,2.77,1.0
75.16,128.72,0.7,1.46,0.0
74.15,128.45,-0.21,-1.35,1.0
75.53,129.5,0.82,1.86,1.0
79.47,133.0,2.7,5.21,0.0
76.33,132.17,-0.62,-3.95,0.0
28.11,120.07,-2.04,-16.0,1.0
45.64,125.22,-4.23,-23.95,0.0
26.53,114.64,-3.21,-17.29,1.0
29.17,115.4,0.66,9.94,0.0
28.78,115.13,-0.23,-1.36,1.0
43.72,119.72,3.64,44.56,0.0
33.41,113.49,-5.2,-23.58,1.0
26.28,105.76,-6.12,-24.57,0.0
23.86,103.12,-2.5,-9.2,1.0
25.6,103.74,0.6,7.26,1.0
39.76,109.69,5.74,55.33,1.0
38.34,107.72,-4.47,-15.91,1.0
46.71,112.34,4.29,21.83,0.0
62.24,119.27,4.12,16.63,1.0
29.15,106.03,-2.71,-13.39,1.0
29.83,102.71,-2.51,-12.99,0.0
26.96,100.7,-1.96,-9.63,0.0
22.11,96.45,-4.22,-17.98,1.0
23.88,96.96,0.53,8.0,1.0
29.21,98.53,1.62,22.32,1.0
46.17,101.42,5.32,45.53,0.0
33.58,93.42,-6.57,-23.33,1.0
58.52,100.53,3.97,20.36,1.0
70.66,106.72,0.76,2.87,0.0
73.23,109.56,1.75,5.86,0.0
70.22,108.99,-0.52,-4.12,1.0
72.37,109.99,0.92,3.06,1.0
74.6,111.12,1.03,3.09,0.0
70.33,110.96,1.05,3.79,0.0
26.58,97.82,-6.26,-33.99,0.0
22.76,94.83,-3.06,-14.36,0.0
21.55,93.74,-1.15,-5.34,0.0
21.44,93.64,-0.11,-0.52,1.0
27.72,95.18,1.64,29.32,0.0
26.27,94.19,-1.04,-5.25,0.0
24.91,93.24,-1.01,-5.14,0.0
24.18,92.72,-0.56,-2.94,1.0
24.5,92.79,0.08,1.33,1.0
27.49,93.42,0.68,12.19,0.0
25.9,92.51,-0.97,-5.8,0.0
22.54,90.34,-2.35,-12.96,1.0
23.43,90.52,0.2,3.93,1.0
37.75,93.88,3.71,61.12,0.0
67.19,102.95,6.5,46.28,1.0
70.0,104.34,1.35,4.18,0.0
72.93,106.05,1.77,5.09,0.0
71.96,107.48,1.52,4.58,1.0
73.55,108.37,0.83,2.21,1.0
74.32,108.81,0.41,1.05,0.0
70.24,108.0,-0.74,-5.5,0.0
70.46,108.18,0.23,0.83,1.0
73.33,109.48,1.2,4.07,0.0
72.74,109.38,-0.09,-0.8,0.0
71.76,109.22,-0.15,-1.36,0.0
70.85,109.08,-0.13,-1.26,1.0
71.62,109.36,0.26,1.09,0.0
65.21,111.77,3.54,16.54,1.0
71.6,115.57,3.4,9.8,0.0
29.73,108.84,-0.9,-7.82,1.0
28.94,105.71,-2.51,-17.21,1.0
70.38,118.99,0.92,5.59,1.0
70.77,119.11,0.1,0.56,1.0
72.83,119.75,0.54,2.91,0.0
70.54,119.99,-0.01,-0.12,0.0
76.13,121.88,1.59,10.71,1.0
76.32,121.94,0.05,0.25,1.0
76.36,121.95,0.01,0.04,0.0
72.8,121.63,-0.26,-4.66,0.0
86.23,128.75,6.1,23.65,0.0
84.75,128.53,-0.17,-1.71,1.0
85.42,129.08,0.43,0.79,1.0
86.8,130.29,0.94,1.62,1.0
88.05,131.53,0.95,1.44,1.0
88.53,132.04,0.39,0.55,1.0
88.89,132.42,0.29,0.4,0.0
86.59,132.12,-0.23,-2.59,1.0
87.9,133.29,0.89,1.52,1.0
89.54,135.02,1.3,1.86,1.0
89.95,135.51,0.36,0.46,0.0
88.72,135.35,-0.12,-1.37,1.0
90.4,137.11,0.3,0.41,0.0
85.53,136.53,-0.42,-5.39,1.0
85.72,136.66,0.1,0.22,1.0
86.12,136.93,0.2,0.46,1.0
86.21,136.99,0.04,0.11,1.0
89.66,139.79,2.04,4.0,0.0
83.03,138.96,-0.59,-7.39,1.0
84.27,139.78,0.59,1.49,0.0
80.86,139.34,-0.31,-4.04,1.0
81.2,139.52,0.13,0.41,0.0
77.0,139.0,-0.37,-5.16,0.0
74.46,138.68,-0.23,-3.31,1.0
75.7,139.14,0.33,1.67,1.0
75.87,139.2,0.04,0.22,0.0
73.97,138.99,-0.15,-2.5,1.0
78.1,140.46,1.06,5.58,1.0
78.67,140.69,0.16,0.73,0.0
72.49,139.99,-0.5,-7.85,1.0
76.64,141.46,1.05,5.73,0.0
73.88,143.8,2.07,12.33,1.0
74.59,144.12,0.22,0.96,0.0
73.31,143.93,-0.13,-1.71,0.0
71.44,143.66,-0.19,-2.55,1.0
71.56,143.7,0.03,0.16,1.0
74.53,144.77,0.74,4.15,0.0
71.59,147.51,0.63,3.5,0.0
72.06,148.96,1.66,10.0,1.0
79.16,153.01,2.72,9.86,1.0
80.46,153.99,0.64,1.64,0.0
76.64,153.26,-0.47,-4.75,1.0
77.71,153.95,0.45,1.41,1.0
80.7,156.1,1.4,3.84,0.0
78.59,155.7,-0.26,-2.61,0.0
77.34,155.47,-0.15,-1.59,0.0
41.53,148.98,-3.88,-32.03,0.0
68.83,157.14,4.73,27.96,0.0
70.91,160.08,0.8,2.62,1.0
72.26,161.06,0.61,1.9,0.0
55.89,155.32,-3.56,-22.65,1.0
65.98,163.05,3.58,26.18,1.0
71.68,166.72,2.25,8.63,1.0
74.58,169.04,1.39,4.04,0.0
74.66,172.5,2.61,7.58,1.0
76.4,174.25,1.01,2.33,1.0
76.95,174.81,0.32,0.71,1.0
78.33,176.24,0.82,1.79,0.0
77.08,175.88,-0.2,-1.6,0.0
72.87,174.67,-0.69,-5.46,0.0
70.47,173.97,-0.4,-3.29,0.0
24.84,160.5,-4.34,-30.56,0.0
21.02,156.49,-2.5,-15.35,1.0
37.79,163.03,4.18,79.75,0.0
29.36,155.15,-2.75,-12.84,1.0
43.64,162.71,4.03,36.14,1.0
48.53,172.77,4.75,46.49,0.0
39.67,165.72,-4.1,-19.85,0.0
59.51,176.57,4.42,20.39,1.0
66.92,183.83,3.92,11.76,1.0
70.03,187.36,0.7,1.69,1.0
72.31,190.04,1.43,3.26,0.0
70.57,193.31,0.77,3.15,1.0
71.52,193.98,0.35,1.34,0.0
70.32,201.5,5.89,38.45,1.0
75.76,207.39,2.92,7.74,1.0
76.24,207.99,0.29,0.63,1.0
77.11,209.07,0.52,1.15,0.0
71.94,207.11,-0.94,-6.71,1.0
72.08,207.25,0.07,0.2,1.0
73.77,208.88,0.79,2.34,0.0
71.55,208.87,0.65,2.23,1.0
72.56,209.75,0.42,1.41,1.0
73.13,210.24,0.23,0.79,1.0
76.44,213.32,1.46,4.53,1.0
80.1,217.58,2.0,4.78,0.0
73.95,215.46,-0.97,-7.68,0.0
72.76,215.04,-0.19,-1.61,1.0
72.77,215.05,0.0,0.02,1.0
73.29,215.49,0.2,0.72,1.0
74.11,216.16,0.31,1.11,1.0
76.19,217.94,0.82,2.81,1.0
78.06,219.7,0.81,2.46,1.0
81.06,222.98,1.49,3.84,1.0
82.65,225.03,0.92,1.97,1.0
79.62,226.87,-0.65,-6.23,0.0
42.67,216.36,-4.63,-25.1,0.0
50.65,222.11,3.57,24.54,0.0
40.28,207.48,-6.63,-24.13,0.0
34.33,194.17,-5.04,-15.82,0.0
33.21,185.86,-3.96,-11.92,0.0
28.91,176.98,-4.78,-12.94,0.0
29.56,174.62,1.35,10.33,0.0
29.37,174.24,-0.22,-0.66,1.0
37.23,180.94,3.85,26.77,0.0
32.09,168.49,-3.57,-10.33,1.0
28.08,156.83,-2.52,-8.16,0.0
24.8,150.73,-3.89,-11.67,0.0
27.88,142.19,-9.96,-26.76,1.0
35.1,148.26,4.27,25.88,0.0
58.57,165.25,6.83,27.3,1.0
70.38,181.71,0.44,1.49,1.0
72.87,183.73,1.11,3.54,1.0
75.49,186.12,1.3,3.6,1.0
77.37,188.02,1.02,2.48,0.0
72.67,186.53,-0.79,-6.07,1.0
74.5,188.16,0.87,2.51,1.0
80.47,195.09,3.68,8.01,0.0
70.16,191.05,-2.07,-12.81,0.0
71.44,195.35,0.69,2.08,1.0
71.82,195.69,0.17,0.53,1.0
73.28,197.0,0.67,2.03,1.0
76.4,200.1,1.57,4.26,0.0
74.59,199.5,-0.3,-2.38,1.0
75.74,200.62,0.56,1.55,0.0
70.58,198.95,-0.83,-6.82,0.0
70.33,198.87,-0.04,-0.35,1.0
70.83,199.23,0.18,0.7,1.0
70.86,199.25,0.01,0.04,1.0
75.89,203.13,1.95,7.1,1.0
80.45,207.48,1.44,3.87,0.0
79.22,207.16,-0.15,-1.53,0.0
72.23,205.28,-0.91,-8.82,0.0
70.92,210.52,4.91,24.45,0.0
70.43,211.75,1.24,4.13,0.0
32.13,185.72,-5.81,-27.04,1.0
29.39,175.07,-1.81,-9.17,0.0
27.88,173.3,-1.01,-5.13,1.0
39.8,179.64,3.66,42.77,1.0
36.55,193.34,-5.23,-26.18,1.0
57.19,208.97,4.23,21.24,0.0
47.19,202.64,-4.62,-20.8,1.0
